;Minsupport Relativ;6%
;Minsupport Absolut;30.00
Regel;;Name: ;angenehmes Tempo; Id: ;0; Support: ;50;relativer Support;10%
Regel;;Name: ;Anschauungsmaterial / Vorführungen; Id: ;1; Support: ;80;relativer Support;16%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;282;relativer Support;56.4%
Regel;;Name: ;Arbeitsmaterialien (Skript. Lehrbuch); Id: ;3; Support: ;102;relativer Support;20.4%
Regel;;Name: ;Diskussionen in Präsenzlehre; Id: ;4; Support: ;53;relativer Support;10.6%
Regel;;Name: ;eigenes Interesse am Thema; Id: ;5; Support: ;33;relativer Support;6.6%
Regel;;Name: ;Engagement des Dozenten; Id: ;7; Support: ;46;relativer Support;9.2%
Regel;;Name: ;Erreichbarkeit des Dozenten; Id: ;8; Support: ;30;relativer Support;6%
Regel;;Name: ;Fachkompetenz des Dozenten; Id: ;9; Support: ;35;relativer Support;7%
Regel;;Name: ;Humor des Dozenten; Id: ;11; Support: ;36;relativer Support;7.2%
Regel;;Name: ;Kommunikation mit Dozenten; Id: ;13; Support: ;155;relativer Support;31%
Regel;;Name: ;Lockerheit des Dozenten; Id: ;14; Support: ;66;relativer Support;13.2%
Regel;;Name: ;logischer Aufbau der Lehrveranstaltung; Id: ;15; Support: ;31;relativer Support;6.2%
Regel;;Name: ;Offenheit des Dozenten für Studierende; Id: ;16; Support: ;106;relativer Support;21.2%
Regel;;Name: ;Partizipation / Mitsprache der Studierenden; Id: ;17; Support: ;45;relativer Support;9%
Regel;;Name: ;Prüfungsvorbereitung / -schwerpunkte; Id: ;18; Support: ;31;relativer Support;6.2%
Regel;;Name: ;Selbststudium; Id: ;20; Support: ;158;relativer Support;31.6%
Regel;;Name: ;strukturiertes Skript; Id: ;21; Support: ;52;relativer Support;10.4%
Regel;;Name: ;sympathisches Auftreten des Dozenten; Id: ;22; Support: ;70;relativer Support;14%
Regel;;Name: ;Teilnahme am Praktikum; Id: ;23; Support: ;107;relativer Support;21.4%
Regel;;Name: ;Teilnahme am Tutorium; Id: ;24; Support: ;72;relativer Support;14.4%
Regel;;Name: ;Teilnahme an Übung (Veranstaltungsform); Id: ;25; Support: ;40;relativer Support;8%
Regel;;Name: ;Teilnahme an Vorlesung; Id: ;26; Support: ;33;relativer Support;6.6%
Regel;;Name: ;Übungen in der Vorlesung; Id: ;27; Support: ;240;relativer Support;48%
Regel;;Name: ;verständliche Erklärungen; Id: ;29; Support: ;155;relativer Support;31%
Regel;;Name: ;Visualisierungen; Id: ;30; Support: ;143;relativer Support;28.6%
Regel;;Name: ;Zusammenfassungen und Wiederholungen; Id: ;31; Support: ;91;relativer Support;18.2%
Regel;;Name: ;Ablenkung durch Lautstärke der Kommilitonen; Id: ;33; Support: ;64;relativer Support;12.8%
Regel;;Name: ;Ausfall von Lehrveranstaltungen; Id: ;35; Support: ;32;relativer Support;6.4%
Regel;;Name: ;Demotivierung / Einschüchterung der Studierenden; Id: ;36; Support: ;46;relativer Support;9.2%
Regel;;Name: ;fehlende / mangelnde Anwendung und Praxis; Id: ;37; Support: ;83;relativer Support;16.6%
Regel;;Name: ;fehlende / unverständliche Erklärungen; Id: ;38; Support: ;115;relativer Support;23%
Regel;;Name: ;fehlende / zu wenige Lehrinhalte; Id: ;39; Support: ;70;relativer Support;14%
Regel;;Name: ;fehlendes Vorwissen; Id: ;40; Support: ;70;relativer Support;14%
Regel;;Name: ;geringes Engagement des Dozenten; Id: ;41; Support: ;73;relativer Support;14.6%
Regel;;Name: ;hohe Stoffmenge / hohes Tempo; Id: ;42; Support: ;212;relativer Support;42.4%
Regel;;Name: ;"kein erkennbarer ""Roter Faden"" in der Lehrveranstaltung"; Id: ;45; Support: ;120;relativer Support;24%
Regel;;Name: ;keine (vollständigen) Arbeitsmaterialien; Id: ;46; Support: ;65;relativer Support;13%
Regel;;Name: ;keine geforderte Aktivität der Studierenden; Id: ;48; Support: ;32;relativer Support;6.4%
Regel;;Name: ;keine Prüfungsvorbereitung / -schwerpunkte; Id: ;50; Support: ;125;relativer Support;25%
Regel;;Name: ;schlechte Passung zu anderen Lehrveranstaltungen; Id: ;52; Support: ;49;relativer Support;9.8%
Regel;;Name: ;schwaches eigenes Engagement; Id: ;53; Support: ;75;relativer Support;15%
Regel;;Name: ;späte Bereitstellung der Unterlagen; Id: ;54; Support: ;75;relativer Support;15%
Regel;;Name: ;ungünstige Raumbedingungen; Id: ;55; Support: ;110;relativer Support;22%
Regel;;Name: ;ungünstige Veranstaltungszeit; Id: ;56; Support: ;72;relativer Support;14.4%
Regel;;Name: ;unstrukturierte Arbeitsmaterialien; Id: ;57; Support: ;47;relativer Support;9.4%
Regel;;Name: ;unübersichtliche / Überfüllte Visualisierung; Id: ;58; Support: ;76;relativer Support;15.2%
Regel;;Name: ;angenehmes Tempo; Id: ;0; Support: ;45. ;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;45;relativer Support;9%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;45;relativer Support;9%;folgt: ;;Name: ;angenehmes Tempo; Id: ;0; Support: ;45;mit einer Confidence von;90.0%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;33. ;Name: ;Diskussionen in Präsenzlehre; Id: ;4; Support: ;33;relativer Support;6.6%
aus: ;;Name: ;Diskussionen in Präsenzlehre; Id: ;4; Support: ;33;relativer Support;6.6%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;33;mit einer Confidence von;11.70212766%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;33;relativer Support;6.6%;folgt: ;;Name: ;Diskussionen in Präsenzlehre; Id: ;4; Support: ;33;mit einer Confidence von;62.26415093999999%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;32. ;Name: ;eigenes Interesse am Thema; Id: ;5; Support: ;32;relativer Support;6.4%
aus: ;;Name: ;eigenes Interesse am Thema; Id: ;5; Support: ;32;relativer Support;6.4%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;32;mit einer Confidence von;11.34751773%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;32;relativer Support;6.4%;folgt: ;;Name: ;eigenes Interesse am Thema; Id: ;5; Support: ;32;mit einer Confidence von;96.96969697%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;31. ;Name: ;Engagement des Dozenten; Id: ;7; Support: ;31;relativer Support;6.2%
aus: ;;Name: ;Engagement des Dozenten; Id: ;7; Support: ;31;relativer Support;6.2%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;31;mit einer Confidence von;10.9929078%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;31;relativer Support;6.2%;folgt: ;;Name: ;Engagement des Dozenten; Id: ;7; Support: ;31;mit einer Confidence von;67.39130435%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;121. ;Name: ;Kommunikation mit Dozenten; Id: ;13; Support: ;121;relativer Support;24.2%
aus: ;;Name: ;Kommunikation mit Dozenten; Id: ;13; Support: ;121;relativer Support;24.2%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;121;mit einer Confidence von;42.907801420000006%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;121;relativer Support;24.2%;folgt: ;;Name: ;Kommunikation mit Dozenten; Id: ;13; Support: ;121;mit einer Confidence von;78.06451613%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;55. ;Name: ;Lockerheit des Dozenten; Id: ;14; Support: ;55;relativer Support;11%
aus: ;;Name: ;Lockerheit des Dozenten; Id: ;14; Support: ;55;relativer Support;11%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;55;mit einer Confidence von;19.503546099999998%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;55;relativer Support;11%;folgt: ;;Name: ;Lockerheit des Dozenten; Id: ;14; Support: ;55;mit einer Confidence von;83.33333333%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;81. ;Name: ;Offenheit des Dozenten für Studierende; Id: ;16; Support: ;81;relativer Support;16.2%
aus: ;;Name: ;Offenheit des Dozenten für Studierende; Id: ;16; Support: ;81;relativer Support;16.2%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;81;mit einer Confidence von;28.723404260000002%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;81;relativer Support;16.2%;folgt: ;;Name: ;Offenheit des Dozenten für Studierende; Id: ;16; Support: ;81;mit einer Confidence von;76.41509434%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;40. ;Name: ;Partizipation / Mitsprache der Studierenden; Id: ;17; Support: ;40;relativer Support;8%
aus: ;;Name: ;Partizipation / Mitsprache der Studierenden; Id: ;17; Support: ;40;relativer Support;8%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;40;mit einer Confidence von;14.184397160000001%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;40;relativer Support;8%;folgt: ;;Name: ;Partizipation / Mitsprache der Studierenden; Id: ;17; Support: ;40;mit einer Confidence von;88.88888888999999%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;80. ;Name: ;Selbststudium; Id: ;20; Support: ;80;relativer Support;16%
aus: ;;Name: ;Selbststudium; Id: ;20; Support: ;80;relativer Support;16%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;80;mit einer Confidence von;28.368794330000004%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;80;relativer Support;16%;folgt: ;;Name: ;Selbststudium; Id: ;20; Support: ;80;mit einer Confidence von;50.632911390000004%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;32. ;Name: ;strukturiertes Skript; Id: ;21; Support: ;32;relativer Support;6.4%
aus: ;;Name: ;strukturiertes Skript; Id: ;21; Support: ;32;relativer Support;6.4%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;32;mit einer Confidence von;11.34751773%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;32;relativer Support;6.4%;folgt: ;;Name: ;strukturiertes Skript; Id: ;21; Support: ;32;mit einer Confidence von;61.53846154%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;60. ;Name: ;sympathisches Auftreten des Dozenten; Id: ;22; Support: ;60;relativer Support;12%
aus: ;;Name: ;sympathisches Auftreten des Dozenten; Id: ;22; Support: ;60;relativer Support;12%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;60;mit einer Confidence von;21.27659574%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;60;relativer Support;12%;folgt: ;;Name: ;sympathisches Auftreten des Dozenten; Id: ;22; Support: ;60;mit einer Confidence von;85.71428571%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;73. ;Name: ;Teilnahme am Praktikum; Id: ;23; Support: ;73;relativer Support;14.6%
aus: ;;Name: ;Teilnahme am Praktikum; Id: ;23; Support: ;73;relativer Support;14.6%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;73;mit einer Confidence von;25.88652482%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;73;relativer Support;14.6%;folgt: ;;Name: ;Teilnahme am Praktikum; Id: ;23; Support: ;73;mit einer Confidence von;68.22429907%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;42. ;Name: ;Teilnahme am Tutorium; Id: ;24; Support: ;42;relativer Support;8.4%
aus: ;;Name: ;Teilnahme am Tutorium; Id: ;24; Support: ;42;relativer Support;8.4%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;42;mit einer Confidence von;14.893617019999999%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;42;relativer Support;8.4%;folgt: ;;Name: ;Teilnahme am Tutorium; Id: ;24; Support: ;42;mit einer Confidence von;58.33333333%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;32. ;Name: ;Teilnahme an Vorlesung; Id: ;26; Support: ;32;relativer Support;6.4%
aus: ;;Name: ;Teilnahme an Vorlesung; Id: ;26; Support: ;32;relativer Support;6.4%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;32;mit einer Confidence von;11.34751773%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;32;relativer Support;6.4%;folgt: ;;Name: ;Teilnahme an Vorlesung; Id: ;26; Support: ;32;mit einer Confidence von;96.96969697%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;156. ;Name: ;Übungen in der Vorlesung; Id: ;27; Support: ;156;relativer Support;31.2%
aus: ;;Name: ;Übungen in der Vorlesung; Id: ;27; Support: ;156;relativer Support;31.2%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;156;mit einer Confidence von;55.31914894%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;156;relativer Support;31.2%;folgt: ;;Name: ;Übungen in der Vorlesung; Id: ;27; Support: ;156;mit einer Confidence von;65.0%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;119. ;Name: ;verständliche Erklärungen; Id: ;29; Support: ;119;relativer Support;23.8%
aus: ;;Name: ;verständliche Erklärungen; Id: ;29; Support: ;119;relativer Support;23.8%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;119;mit einer Confidence von;42.19858156%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;119;relativer Support;23.8%;folgt: ;;Name: ;verständliche Erklärungen; Id: ;29; Support: ;119;mit einer Confidence von;76.77419355%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;113. ;Name: ;Visualisierungen; Id: ;30; Support: ;113;relativer Support;22.6%
aus: ;;Name: ;Visualisierungen; Id: ;30; Support: ;113;relativer Support;22.6%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;113;mit einer Confidence von;40.07092199%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;113;relativer Support;22.6%;folgt: ;;Name: ;Visualisierungen; Id: ;30; Support: ;113;mit einer Confidence von;79.02097902%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;67. ;Name: ;Zusammenfassungen und Wiederholungen; Id: ;31; Support: ;67;relativer Support;13.4%
aus: ;;Name: ;Zusammenfassungen und Wiederholungen; Id: ;31; Support: ;67;relativer Support;13.4%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;67;mit einer Confidence von;23.75886525%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;67;relativer Support;13.4%;folgt: ;;Name: ;Zusammenfassungen und Wiederholungen; Id: ;31; Support: ;67;mit einer Confidence von;73.62637363%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;37. ;Name: ;Ablenkung durch Lautstärke der Kommilitonen; Id: ;33; Support: ;37;relativer Support;7.4%
aus: ;;Name: ;Ablenkung durch Lautstärke der Kommilitonen; Id: ;33; Support: ;37;relativer Support;7.4%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;37;mit einer Confidence von;13.12056738%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;37;relativer Support;7.4%;folgt: ;;Name: ;Ablenkung durch Lautstärke der Kommilitonen; Id: ;33; Support: ;37;mit einer Confidence von;57.8125%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;54. ;Name: ;fehlende / mangelnde Anwendung und Praxis; Id: ;37; Support: ;54;relativer Support;10.8%
aus: ;;Name: ;fehlende / mangelnde Anwendung und Praxis; Id: ;37; Support: ;54;relativer Support;10.8%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;54;mit einer Confidence von;19.14893617%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;54;relativer Support;10.8%;folgt: ;;Name: ;fehlende / mangelnde Anwendung und Praxis; Id: ;37; Support: ;54;mit einer Confidence von;65.06024096%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;62. ;Name: ;fehlende / unverständliche Erklärungen; Id: ;38; Support: ;62;relativer Support;12.4%
aus: ;;Name: ;fehlende / unverständliche Erklärungen; Id: ;38; Support: ;62;relativer Support;12.4%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;62;mit einer Confidence von;21.9858156%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;62;relativer Support;12.4%;folgt: ;;Name: ;fehlende / unverständliche Erklärungen; Id: ;38; Support: ;62;mit einer Confidence von;53.91304348%
